wilayah,tahun,gini_ratio,tingkat_penganggur_terbuka,rata_rata_inflasi_tahunan,indeks_pembangunan_manusia,persentase_kemiskinan,priority_level
Kabupaten Bogor,2014,402.22,6.75,6.33,68.11,9.95,High Priority
Kabupaten Bogor,2015,404.37,7.24,3.91,68.69,10.19,High Priority
Kabupaten Bogor,2016,401.22,6.75,2.54,69.32,9.95,High Priority
Kabupaten Bogor,2017,394.87,6.86,3.87,69.54,9.79,High Priority
Kabupaten Bogor,2018,399.84,6.77,3.28,69.8,9.78,High Priority
Kabupaten Bogor,2019,394.04,7.33,2.59,70.33,9.49,High Priority
Kabupaten Bogor,2020,398.81,7.8,1.52,70.57,9.94,High Priority
Kabupaten Bogor,2021,400.99,7.64,1.75,70.92,9.97,High Priority
Kabupaten Bogor,2022,398.33,6.9,4.25,71.24,9.5,High Priority
Kabupaten Bogor,2023,394.83,6.65,2.78,71.61,9.05,High Priority
Kabupaten Bogor,2024,389.2,6.36,2.63,71.83,8.91,Medium Priority
Kabupaten Bogor,2025,387.8,6.05,2.24,72.49,9.05,High Priority
Kabupaten Sukabumi,2014,378.71,6.07,6.15,71.25,9.2,High Priority
Kabupaten Sukabumi,2015,387.44,6.09,3.81,71.52,9.41,High Priority
Kabupaten Sukabumi,2016,385.17,5.93,2.6,71.88,9.25,High Priority
Kabupaten Sukabumi,2017,384.22,5.65,3.5,72.0,9.26,High Priority
Kabupaten Sukabumi,2018,384.01,6.0,3.18,72.53,9.14,High Priority
Kabupaten Sukabumi,2019,372.35,5.42,2.41,72.75,8.69,Medium Priority
Kabupaten Sukabumi,2020,380.99,6.33,1.99,73.06,9.38,High Priority
Kabupaten Sukabumi,2021,380.76,6.26,1.69,73.47,9.22,High Priority
Kabupaten Sukabumi,2022,379.66,5.45,4.25,73.93,8.62,Medium Priority
Kabupaten Sukabumi,2023,372.54,5.64,3.15,73.81,8.59,Medium Priority
Kabupaten Sukabumi,2024,368.97,5.5,2.34,74.82,8.47,Medium Priority
Kabupaten Sukabumi,2025,374.77,5.72,2.52,75.1,8.4,Medium Priority
Kabupaten Cianjur,2014,366.05,5.07,6.18,69.36,8.85,Medium Priority
Kabupaten Cianjur,2015,386.87,5.57,3.99,69.74,8.85,Medium Priority
Kabupaten Cianjur,2016,367.14,5.08,2.66,69.43,8.75,Medium Priority
Kabupaten Cianjur,2017,370.89,5.23,3.57,70.2,8.66,Medium Priority
Kabupaten Cianjur,2018,368.73,4.78,3.59,70.21,8.69,Medium Priority
Kabupaten Cianjur,2019,361.98,4.72,2.49,71.13,8.23,Medium Priority
Kabupaten Cianjur,2020,375.39,5.36,1.5,71.59,9.01,High Priority
Kabupaten Cianjur,2021,369.9,5.47,1.76,71.54,8.86,Medium Priority
Kabupaten Cianjur,2022,359.41,4.59,4.24,71.8,8.44,Medium Priority
Kabupaten Cianjur,2023,364.93,4.6,3.39,72.31,8.05,Low Priority
Kabupaten Cianjur,2024,364.55,4.85,2.64,72.53,8.12,Low Priority
Kabupaten Cianjur,2025,369.56,4.18,2.58,72.69,8.01,Low Priority
Kabupaten Bandung,2014,362.54,5.44,6.36,72.8,8.53,Medium Priority
Kabupaten Bandung,2015,364.69,5.51,3.45,73.31,8.42,Medium Priority
Kabupaten Bandung,2016,355.98,5.13,2.68,73.15,8.49,Medium Priority
Kabupaten Bandung,2017,356.85,5.39,3.53,73.39,8.58,Medium Priority
Kabupaten Bandung,2018,357.4,5.66,3.05,74.14,8.27,Medium Priority
Kabupaten Bandung,2019,351.65,5.31,2.72,74.41,8.09,Low Priority
Kabupaten Bandung,2020,356.1,6.45,1.64,75.12,8.36,Medium Priority
Kabupaten Bandung,2021,365.3,6.01,1.74,74.77,8.41,Medium Priority
Kabupaten Bandung,2022,349.66,5.27,4.08,74.87,7.79,Low Priority
Kabupaten Bandung,2023,345.33,4.61,3.57,75.7,7.3,Low Priority
Kabupaten Bandung,2024,366.09,5.45,2.04,75.82,7.78,Low Priority
Kabupaten Bandung,2025,345.54,5.37,2.15,76.47,7.83,Low Priority
Kabupaten Garut,2014,387.87,5.3,6.28,69.41,9.47,High Priority
Kabupaten Garut,2015,387.37,5.35,3.91,70.02,9.33,High Priority
Kabupaten Garut,2016,384.03,5.34,3.21,69.98,9.61,High Priority
Kabupaten Garut,2017,377.85,5.01,3.86,70.57,9.23,High Priority
Kabupaten Garut,2018,386.95,4.71,3.3,70.93,8.88,Medium Priority
Kabupaten Garut,2019,381.48,5.16,2.64,71.06,8.97,High Priority
Kabupaten Garut,2020,391.87,5.84,1.14,71.31,9.48,High Priority
Kabupaten Garut,2021,381.55,5.83,1.51,71.74,9.37,High Priority
Kabupaten Garut,2022,383.43,4.75,4.13,72.52,8.66,Medium Priority
Kabupaten Garut,2023,383.31,4.79,3.23,72.29,8.85,Medium Priority
Kabupaten Garut,2024,384.43,4.93,2.4,73.12,8.67,Medium Priority
Kabupaten Garut,2025,371.13,4.78,2.42,73.14,8.34,Medium Priority
Kabupaten Tasikmalaya,2014,405.16,7.22,6.39,69.95,9.81,High Priority
Kabupaten Tasikmalaya,2015,415.11,7.36,3.75,69.78,9.96,High Priority
Kabupaten Tasikmalaya,2016,407.46,6.63,2.82,70.24,10.06,High Priority
Kabupaten Tasikmalaya,2017,411.24,6.3,3.62,70.71,9.86,High Priority
Kabupaten Tasikmalaya,2018,405.66,6.3,3.33,71.27,9.37,High Priority
Kabupaten Tasikmalaya,2019,411.75,6.86,2.57,71.58,9.75,High Priority
Kabupaten Tasikmalaya,2020,411.99,7.54,1.76,71.69,9.99,High Priority
Kabupaten Tasikmalaya,2021,411.64,7.39,2.12,71.76,9.84,High Priority
Kabupaten Tasikmalaya,2022,401.7,7.18,4.02,72.21,9.54,High Priority
Kabupaten Tasikmalaya,2023,409.76,6.55,3.29,72.8,9.33,High Priority
Kabupaten Tasikmalaya,2024,400.99,7.07,1.86,73.07,9.51,High Priority
Kabupaten Tasikmalaya,2025,407.47,6.46,1.85,73.19,9.04,High Priority
Kabupaten Ciamis,2014,368.99,5.98,6.41,69.99,8.5,Medium Priority
Kabupaten Ciamis,2015,380.13,6.45,4.07,70.37,8.75,Medium Priority
Kabupaten Ciamis,2016,377.45,6.05,2.79,70.73,8.71,Medium Priority
Kabupaten Ciamis,2017,375.91,6.3,3.57,70.87,8.78,Medium Priority
Kabupaten Ciamis,2018,368.73,5.79,2.69,70.86,8.3,Medium Priority
Kabupaten Ciamis,2019,376.03,5.99,2.94,71.8,8.49,Medium Priority
Kabupaten Ciamis,2020,378.8,7.11,1.52,71.82,8.79,Medium Priority
Kabupaten Ciamis,2021,375.45,6.5,2.08,71.85,8.93,Medium Priority
Kabupaten Ciamis,2022,367.74,6.2,4.3,72.31,8.14,Low Priority
Kabupaten Ciamis,2023,367.62,6.07,2.98,72.59,7.77,Low Priority
Kabupaten Ciamis,2024,368.6,5.89,2.37,73.19,7.94,Low Priority
Kabupaten Ciamis,2025,361.06,5.64,2.43,73.96,7.72,Low Priority
Kabupaten Kuningan,2014,392.61,7.33,6.44,70.66,10.14,High Priority
Kabupaten Kuningan,2015,391.04,6.84,3.97,70.39,9.77,High Priority
Kabupaten Kuningan,2016,384.48,6.18,2.65,70.56,9.66,High Priority
Kabupaten Kuningan,2017,384.16,6.92,3.68,71.68,9.7,High Priority
Kabupaten Kuningan,2018,390.96,6.64,3.13,71.53,9.86,High Priority
Kabupaten Kuningan,2019,399.76,6.54,2.75,71.68,9.82,High Priority
Kabupaten Kuningan,2020,389.78,7.4,1.66,72.16,9.89,High Priority
Kabupaten Kuningan,2021,392.3,6.98,2.14,72.57,9.87,High Priority
Kabupaten Kuningan,2022,383.12,6.7,4.41,72.85,9.04,High Priority
Kabupaten Kuningan,2023,374.89,5.82,3.4,73.22,9.03,High Priority
Kabupaten Kuningan,2024,366.45,5.89,2.18,73.47,9.24,High Priority
Kabupaten Kuningan,2025,382.49,6.07,1.86,74.07,8.95,Medium Priority
Kabupaten Cirebon,2014,405.13,6.41,6.76,70.22,9.37,High Priority
Kabupaten Cirebon,2015,398.58,6.86,4.21,70.22,9.53,High Priority
Kabupaten Cirebon,2016,399.73,6.5,3.09,71.08,9.37,High Priority
Kabupaten Cirebon,2017,399.6,6.3,3.26,70.89,9.52,High Priority
Kabupaten Cirebon,2018,384.27,6.65,3.03,71.32,9.02,High Priority
Kabupaten Cirebon,2019,394.24,6.37,2.64,71.6,9.11,High Priority
Kabupaten Cirebon,2020,401.97,6.77,1.85,72.02,9.64,High Priority
Kabupaten Cirebon,2021,407.52,7.04,1.88,72.44,9.49,High Priority
Kabupaten Cirebon,2022,386.82,6.09,4.0,72.59,8.84,Medium Priority
Kabupaten Cirebon,2023,386.91,6.1,3.3,73.21,8.76,Medium Priority
Kabupaten Cirebon,2024,392.38,5.87,2.34,73.44,8.4,Medium Priority
Kabupaten Cirebon,2025,384.04,6.04,2.24,73.8,8.43,Medium Priority
Kabupaten Majalengka,2014,390.41,6.58,6.16,70.88,9.95,High Priority
Kabupaten Majalengka,2015,386.59,6.52,3.95,72.19,9.88,High Priority
Kabupaten Majalengka,2016,398.78,6.83,2.39,71.82,9.63,High Priority
Kabupaten Majalengka,2017,392.64,6.58,3.65,72.34,9.44,High Priority
Kabupaten Majalengka,2018,393.85,6.51,3.06,72.88,9.46,High Priority
Kabupaten Majalengka,2019,388.62,6.79,2.33,73.23,9.51,High Priority
Kabupaten Majalengka,2020,382.56,7.37,1.8,73.09,9.79,High Priority
Kabupaten Majalengka,2021,389.79,7.44,1.76,73.37,10.09,High Priority
Kabupaten Majalengka,2022,385.62,6.65,4.06,74.0,9.32,High Priority
Kabupaten Majalengka,2023,388.79,6.28,2.87,74.35,8.6,Medium Priority
Kabupaten Majalengka,2024,378.85,6.96,1.87,75.16,8.96,Medium Priority
Kabupaten Majalengka,2025,374.21,6.22,2.33,75.09,9.02,High Priority
Kabupaten Sumedang,2014,413.52,6.06,6.02,72.04,8.62,Medium Priority
Kabupaten Sumedang,2015,408.47,6.5,4.27,72.37,8.48,Medium Priority
Kabupaten Sumedang,2016,403.9,6.06,2.79,72.92,8.65,Medium Priority
Kabupaten Sumedang,2017,407.06,5.5,3.4,73.06,8.31,Medium Priority
Kabupaten Sumedang,2018,397.97,5.45,3.31,73.46,8.1,Low Priority
Kabupaten Sumedang,2019,406.31,6.01,2.54,73.25,8.07,Low Priority
Kabupaten Sumedang,2020,420.16,6.62,1.79,74.2,8.79,Medium Priority
Kabupaten Sumedang,2021,410.27,6.68,2.18,74.32,8.51,Medium Priority
Kabupaten Sumedang,2022,406.8,5.74,4.53,74.7,7.92,Low Priority
Kabupaten Sumedang,2023,399.31,5.68,3.31,75.08,7.37,Low Priority
Kabupaten Sumedang,2024,387.84,5.35,2.09,75.33,7.44,Low Priority
Kabupaten Sumedang,2025,397.12,5.77,1.97,75.81,7.76,Low Priority
Kabupaten Indramayu,2014,377.64,7.12,6.55,68.18,10.01,High Priority
Kabupaten Indramayu,2015,370.53,6.85,3.56,68.57,10.12,High Priority
Kabupaten Indramayu,2016,375.03,6.59,3.0,68.83,9.62,High Priority
Kabupaten Indramayu,2017,381.71,6.56,3.66,68.92,10.16,High Priority
Kabupaten Indramayu,2018,375.55,6.46,3.21,69.34,9.94,High Priority
Kabupaten Indramayu,2019,373.0,6.75,2.87,69.89,9.85,High Priority
Kabupaten Indramayu,2020,380.52,6.83,1.96,69.78,10.0,High Priority
Kabupaten Indramayu,2021,379.06,7.36,2.3,70.06,10.24,High Priority
Kabupaten Indramayu,2022,370.17,6.5,4.13,70.83,9.31,High Priority
Kabupaten Indramayu,2023,373.49,6.91,2.9,71.74,9.44,High Priority
Kabupaten Indramayu,2024,372.96,6.52,2.44,71.77,9.39,High Priority
Kabupaten Indramayu,2025,356.69,6.44,2.22,72.11,9.11,High Priority
Kabupaten Subang,2014,406.42,7.37,6.44,73.53,8.56,Medium Priority
Kabupaten Subang,2015,398.74,6.99,3.89,73.9,8.54,Medium Priority
Kabupaten Subang,2016,404.21,7.15,2.8,74.55,8.57,Medium Priority
Kabupaten Subang,2017,402.3,6.6,3.44,74.45,8.27,Medium Priority
Kabupaten Subang,2018,393.02,6.91,3.17,74.95,8.51,Medium Priority
Kabupaten Subang,2019,401.05,7.01,2.51,75.41,8.07,Low Priority
Kabupaten Subang,2020,410.59,7.57,1.94,75.45,8.77,Medium Priority
Kabupaten Subang,2021,404.14,7.34,1.86,75.44,8.53,Medium Priority
Kabupaten Subang,2022,395.61,6.68,4.27,76.21,7.93,Low Priority
Kabupaten Subang,2023,390.76,6.6,2.99,76.59,7.98,Low Priority
Kabupaten Subang,2024,386.05,5.95,2.31,76.62,7.63,Low Priority
Kabupaten Subang,2025,380.89,6.73,2.29,77.19,8.04,Low Priority
Kabupaten Purwakarta,2014,372.1,5.73,6.33,70.23,8.99,High Priority
Kabupaten Purwakarta,2015,361.35,5.76,3.93,70.65,8.64,Medium Priority
Kabupaten Purwakarta,2016,357.18,5.48,2.96,71.68,8.32,Medium Priority
Kabupaten Purwakarta,2017,359.77,5.44,3.66,71.21,8.48,Medium Priority
Kabupaten Purwakarta,2018,348.83,5.26,3.35,71.73,8.08,Low Priority
Kabupaten Purwakarta,2019,357.83,5.09,2.55,71.68,8.27,Medium Priority
Kabupaten Purwakarta,2020,357.79,5.71,1.69,71.91,8.66,Medium Priority
Kabupaten Purwakarta,2021,359.93,5.94,1.48,72.32,8.22,Medium Priority
Kabupaten Purwakarta,2022,354.8,5.09,4.19,72.98,7.95,Low Priority
Kabupaten Purwakarta,2023,347.15,4.6,2.86,73.57,7.56,Low Priority
Kabupaten Purwakarta,2024,339.4,4.72,1.93,73.97,7.35,Low Priority
Kabupaten Purwakarta,2025,351.01,4.67,2.13,73.92,7.83,Low Priority
